date,manager,profit,flow,equity_sod,roe
5/4/2017,PAR,3766444.63,0,5571657694,0.000676
5/5/2017,PAR,35753072.14,0,5575424139,0.006413
5/8/2017,PAR,-37480512.62,0,5611177211,-0.00668
5/9/2017,PAR,32001863.43,0,5573696698,0.005742
5/10/2017,PAR,16167907.6,0,5605698562,0.002884
5/11/2017,PAR,-7082883.07,0,5621866469,-0.00126
5/12/2017,PAR,-45265241.65,0,5614783586,-0.008062
5/15/2017,PAR,54639277.8,0,5569518345,0.00981
5/16/2017,PAR,21873366.5,0,5624157622,0.003889
5/17/2017,PAR,-108805340.6,0,5646030989,-0.019271
5/18/2017,PAR,7438966.08,0,5537225648,0.001343
5/19/2017,PAR,94116990,0,5544664614,0.016974
5/22/2017,PAR,40794085.37,0,5638781604,0.007235
5/23/2017,PAR,1375187.98,0,5679575690,0.000242
5/24/2017,PAR,7043875.69,0,5680950878,0.00124
5/25/2017,PAR,13341112.53,0,5687994753,0.002345
5/26/2017,PAR,-16363076.39,0,5701335866,-0.00287
5/30/2017,PAR,-44533725.51,0,5684972790,-0.007834
5/31/2017,PAR,6808983.81,0,5640439064,0.001207
6/1/2017,PAR,49698620.92,0,5647248048,0.008801
6/2/2017,PAR,13397420.08,0,5696946669,0.002352
6/5/2017,PAR,-12552454.95,0,5710344089,-0.002198
6/6/2017,PAR,-37093308.85,0,5697791634,-0.00651
6/7/2017,PAR,-4392817.67,0,5660698325,-0.000776
6/8/2017,PAR,-13248370.29,0,5656305507,-0.002342
6/9/2017,PAR,-34618173.21,0,5643057137,-0.006135
6/12/2017,PAR,4598966.5,0,5608438964,0.00082
6/13/2017,PAR,28069488.19,0,5613037930,0.005001
6/14/2017,PAR,14190750.79,0,5641107419,0.002516
6/15/2017,PAR,-21433340.16,0,5655298169,-0.00379
6/16/2017,PAR,-13948907.72,0,5633864829,-0.002476
6/19/2017,PAR,65564399.63,0,5619915922,0.011666
6/20/2017,PAR,-27628038.21,0,5685480321,-0.004859
6/21/2017,PAR,-9300255.35,0,5657852283,-0.001644
